53843K79J 79J2019032916482248   NP  0000                      39993   29.774  29.768  29.757   76   47          
53843K79J 79J2019032916492249   NP  0000    0.00              39993   29.774  29.768  29.757   77   47          
53843K79J 79J2019032916502250   NP  0000    0.00              39993   29.774  29.768  29.756   77   47          
53843K79J 79J2019032916512251   NP  0000    0.00              39993   29.774  29.768  29.757   77   47          
53843K79J 79J2019032916522252   NP  0000    0.00              39993   29.774  29.768  29.757   77   47          
53843K79J 79J2019032916532253   NP  0000    0.00              39993   29.774  29.768  29.757   76   47          
53843K79J 79J2019032916542254   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032916552255   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032916562256   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032916572257   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032916582258   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032916592259   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032917002300   NP  0000    0.00              39993   29.776  29.770  29.759   76   47          
53843K79J 79J2019032917012301   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032917022302   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032917032303   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032917042304   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032917052305   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032917062306   NP  0000    0.00              39993   29.775  29.769  29.757   76   47          
53843K79J 79J2019032917072307   NP  0000    0.00              39994   29.774  29.769  29.758   76   47          
53843K79J 79J2019032917082308   NP  0000    0.00              39993   29.774  29.768  29.757   76   47          
53843K79J 79J2019032917092309   NP  0000    0.00              39993   29.774  29.768  29.757   76   47          
53843K79J 79J2019032917102310   NP  0000    0.00              39993   29.774  29.768  29.757   76   47          
53843K79J 79J2019032917112311   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032917122312   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032917132313   NP  0000    0.00              39993   29.775  29.769  29.758   76   47          
53843K79J 79J2019032917142314   NP  0000    0.00              39993   29.774  29.769  29.757   76   47          
53843K79J 79J2019032917152315   NP  0000    0.00              39993   29.775  29.769  29.758   75   47          
53843K79J 79J2019032917162316   NP  0000    0.00              39993   29.775  29.769  29.758   75   47          
53843K79J 79J2019032917172317   NP  0000    0.00              39993   29.775  29.769  29.758   75   47          
53843K79J 79J2019032917182318   NP  0000    0.00              39993   29.775  29.769  29.758   75   47          
53843K79J 79J2019032917192319   NP  0000    0.00              39993   29.775  29.769  29.758   75   47          
53843K79J 79J2019032917202320   NP  0000    0.00              39993   29.775  29.769  29.758   75   47          
53843K79J 79J2019032917212321   NP  0000    0.00              39993   29.775  29.769  29.758   75   47          
53843K79J 79J2019032917222322   NP  0000    0.00              39993   29.775  29.769  29.758   74   47          
53843K79J 79J2019032917232323   NP  0000    0.00              39993   29.775  29.769  29.758   74   47          
53843K79J 79J2019032917242324   NP  0000    0.00              39993   29.775  29.769  29.758   74   47          
53843K79J 79J2019032917252325   NP  0000    0.00              39993   29.775  29.769  29.758   74   47          
53843K79J 79J2019032917262326   NP  0000    0.00              39993   29.776  29.770  29.758   74   47          
53843K79J 79J2019032917272327   NP  0000    0.00              39993   29.775  29.769  29.758   74   47          
53843K79J 79J2019032917282328   NP  0000    0.00              39993   29.776  29.770  29.759   74   47          
53843K79J 79J2019032917292329   NP  0000    0.00              39993   29.776  29.770  29.759   74   47          
53843K79J 79J2019032917302330   NP  0000    0.00              39993   29.776  29.770  29.759   74   47          
53843K79J 79J2019032917312331   NP  0000    0.00              39993   29.777  29.771  29.760   74   47          
53843K79J 79J2019032917322332   NP  0000    0.00              39993   29.777  29.771  29.760   74   47          
53843K79J 79J2019032917332333   NP  0000    0.00              39993   29.778  29.772  29.761   74   47          
53843K79J 79J2019032917342334   NP  0000    0.00              39993   29.779  29.773  29.762   74   47          
