,x,z,y,plane,direction,unknown1,label,unknown2
0,6.075,-16.600,0.000,XY,Z,2,U1,5
1,6.050,-13.850,0.000,XY,Z,2,U2,5
2,6.050,-11.100,0.000,XY,Z,2,U3,5
3,6.075,-8.300,0.000,XY,Z,2,U4,0
4,6.075,-5.700,0.000,XY,Z,2,U5,5
5,6.075,-2.950,0.000,XY,Z,2,U6,5
6,6.075,-0.200,0.000,XY,Z,2,U7,5
7,6.075,8.500,0.000,XY,Z,2,U8,5
8,0.375,-8.300,0.000,XY,Z,2,U9,0
9,3.225,-8.300,0.000,XY,Z,2,U10,0
10,8.925,-8.300,0.000,XY,Z,2,U11,0
11,13.125,-8.300,0.000,XY,Z,2,U12,0
12,20.775,-8.300,0.000,XY,Z,2,U13,0
13,28.425,-8.300,0.000,XY,Z,2,U14,0
14,33.075,-8.300,0.000,XY,Z,2,U15,0
15,36.175,-16.600,0.000,XY,Z,2,U16,5
16,36.175,-13.850,0.000,XY,Z,2,U17,5
17,36.175,-11.100,0.000,XY,Z,2,U18,5
18,36.175,-8.300,0.000,XY,Z,2,U19,0
19,36.175,-5.700,0.000,XY,Z,2,U20,5
20,36.175,-2.950,0.000,XY,Z,2,U21,5
21,36.175,-0.200,0.000,XY,Z,2,U22,5
22,36.175,8.500,0.000,XY,Z,2,U23,5
23,39.075,-8.300,0.000,XY,Z,2,U24,0
24,43.725,-8.300,0.000,XY,Z,2,U25,0
25,51.375,-8.300,0.000,XY,Z,2,U26,0
26,66.675,-8.300,0.000,XY,Z,2,U27,5
27,81.975,-8.300,0.000,XY,Z,2,U28,5
28,96.775,-8.300,0.000,XY,Z,2,U29,5
