sensortype,sensorlabel,xpostruck,inflinedata
strains,B1-Tcorr,10.5,-2.44707183333358
strains,B1-Tcorr,16.875,-0.30455349999994
strains,B1-Tcorr,24.525,0.258741499999999
strains,B1-Tcorr,32.175,-0.541433999999811
strains,B1-Tcorr,39.825,0.771122187031338
strains,B1-Tcorr,47.475,-0.0555139189864065
strains,B1-Tcorr,55.125,0.473795299216519
strains,B1-Tcorr,62.775,0.144922333333071
strains,B1-Tcorr,70.425,-0.201109000000159
strains,B1-Tcorr,78.075,0.277439500000341
strains,B1-Tcorr,85.725,-0.821867333333131
strains,B1-Tcorr,93.375,1.48195200000015
strains,B1-Tcorr,99.75,0.291340833333393
strains,B2-Tcorr,10.5,6.59425516666688
strains,B2-Tcorr,16.875,0.296663333333271
strains,B2-Tcorr,24.525,-0.359225166666491
strains,B2-Tcorr,32.175,-0.773904500000015
strains,B2-Tcorr,39.825,-0.142843307218101
strains,B2-Tcorr,47.475,-0.45085030838473
strains,B2-Tcorr,55.125,-0.5067526254374
strains,B2-Tcorr,62.775,-0.198256500000113
strains,B2-Tcorr,70.425,-0.640019666666646
strains,B2-Tcorr,78.075,-0.216956500000151
strains,B2-Tcorr,85.725,-0.0325465000001799
strains,B2-Tcorr,93.375,-0.162500666666674
strains,B2-Tcorr,99.75,-0.192941166666472
strains,B3-Tcorr,10.5,15.7241738333334
strains,B3-Tcorr,16.875,1.47263533333341
strains,B3-Tcorr,24.525,-0.557222666667087
strains,B3-Tcorr,32.175,-0.121169333333867
strains,B3-Tcorr,39.825,-0.536031505251273
strains,B3-Tcorr,47.475,-0.47669661610324
strains,B3-Tcorr,55.125,-0.196388064677848
strains,B3-Tcorr,62.775,-0.0924478333336367
strains,B3-Tcorr,70.425,-0.530245500000404
strains,B3-Tcorr,78.075,-0.0276848333337085
strains,B3-Tcorr,85.725,-0.563168333333763
strains,B3-Tcorr,93.375,-0.121461833333484
strains,B3-Tcorr,99.75,-0.772786166667174
strains,B4-Tcorr,10.5,16.3672725000001
strains,B4-Tcorr,16.875,-0.621256833333405
strains,B4-Tcorr,24.525,-1.84729066666648
strains,B4-Tcorr,32.175,-0.0948951666665465
strains,B4-Tcorr,39.825,0.336460743457295
strains,B4-Tcorr,47.475,-0.00293965660959827
strains,B4-Tcorr,55.125,-0.0608298049677245
strains,B4-Tcorr,62.775,0.4730954999998
strains,B4-Tcorr,70.425,-0.358745666666678
strains,B4-Tcorr,78.075,0.120251833332986
strains,B4-Tcorr,85.725,-0.485093333333424
strains,B4-Tcorr,93.375,0.120916333333241
strains,B4-Tcorr,99.75,0.594747666666535
strains,B5-Tcorr,10.5,-3.5224246666665
strains,B5-Tcorr,16.875,2.75878299999985
strains,B5-Tcorr,24.525,4.07125050000022
strains,B5-Tcorr,32.175,-0.96755366666676
strains,B5-Tcorr,39.825,0.23898916486074
strains,B5-Tcorr,47.475,-0.475842973828946
strains,B5-Tcorr,55.125,-0.342070678446348
strains,B5-Tcorr,62.775,-0.452026500000017
strains,B5-Tcorr,70.425,-0.375313333333168
strains,B5-Tcorr,78.075,0.0124384999999165
strains,B5-Tcorr,85.725,-0.348758000000032
strains,B5-Tcorr,93.375,0.44442983333353
strains,B5-Tcorr,99.75,0.52436766666662
accelarations,A1,10.5,2.98383063844059e-06
accelarations,A1,16.875,-1.09151525254205e-05
accelarations,A1,24.525,2.15802633772296e-05
accelarations,A1,32.175,1.24270711785297e-05
accelarations,A1,39.825,8.6831138523079e-06
accelarations,A1,47.475,7.48458076346085e-06
accelarations,A1,55.125,1.27687947991297e-06
accelarations,A1,62.775,1.83913985664268e-05
accelarations,A1,70.425,8.05647840531508e-06
accelarations,A1,78.075,-8.85480913485616e-06
