|x|z|y|plane|direction|unknown1|label|dist|
|--|--|--|--|--|--|--|--|
|5.975|0.0|0.0|XY|Y|1|B1|2000|
|5.975|-7.400000000000002|0.0|XY|Y|1|B2|2000|
|5.975|-9.400000000000002|0.0|XY|Y|1|B3|2000|
|5.975|-8.400000000000002|0.0|XY|X|1|B4|2000|
|20.775|-8.400000000000002|0.0|XY|X|1|B5|2000|
|5.975|9.399999999999999|0.0|XY|Y|1|O1|2000|
|5.975|7.399999999999999|0.0|XY|Y|1|O2|2000|
|5.975|8.399999999999999|0.0|XY|X|1|O3|2000|
|36.075|8.399999999999999|0.0|XY|X|1|O4|2000|
|36.075|9.399999999999999|0.0|XY|Y|1|O5|2000|
|36.075|7.399999999999999|0.0|XY|Y|1|O6|2000|
|36.075|0.0|0.0|XY|Y|1|O7|2000|
|36.075|-7.400000000000002|0.0|XY|Y|1|O8|2000|
|36.075|-8.400000000000002|0.0|XY|X|1|O9|2000|
|36.075|-9.400000000000002|0.0|XY|Y|1|O10|2000|
|81.975|-8.400000000000002|0.0|XY|X|1|O11|2000|
|96.775|-8.400000000000002|0.0|XY|X|1|O12|2000|
|49.125|-8.400000000000002|0.0|XY|X|1|T1|500|
|49.625|-8.400000000000002|0.0|XY|X|1|T2|500|
|50.125|-8.400000000000002|0.0|XY|X|1|T3|500|
|50.625|-8.400000000000002|0.0|XY|X|1|T4|500|
|51.125|-8.400000000000002|0.0|XY|X|1|T5|500|
|51.625|-8.400000000000002|0.0|XY|X|1|T6|500|
|52.125|-8.400000000000002|0.0|XY|X|1|T7|500|
|52.625|-8.400000000000002|0.0|XY|X|1|T8|500|
|53.125|-8.400000000000002|0.0|XY|X|1|T9|500|
|53.625|-8.400000000000002|0.0|XY|X|1|T10|500|
|64.425|-8.400000000000002|0.0|XY|X|1|T11|500|
|64.925|-8.400000000000002|0.0|XY|X|1|T12|500|
|65.425|-8.400000000000002|0.0|XY|X|1|T13|500|
|65.925|-8.400000000000002|0.0|XY|X|1|T14|500|
|66.425|-8.400000000000002|0.0|XY|X|1|T15|500|
|66.925|-8.400000000000002|0.0|XY|X|1|T16|500|
|67.425|-8.400000000000002|0.0|XY|X|1|T17|500|
|67.925|-8.400000000000002|0.0|XY|X|1|T18|500|
|68.425|-8.400000000000002|0.0|XY|X|1|T19|500|
|68.925|-8.400000000000002|0.0|XY|X|1|T20|500|
