,x,z,y,plane,direction,unknown1,label,dist
0,5.975,0.000,0.000,XY,Y,1,B1,2000
1,5.975,-7.400,0.000,XY,Y,1,B2,2000
2,5.975,-9.400,0.000,XY,Y,1,B3,2000
3,5.975,-8.400,0.000,XY,X,1,B4,2000
4,20.775,-8.400,0.000,XY,X,1,B5,2000
5,5.975,9.400,0.000,XY,Y,1,O1,2000
6,5.975,7.400,0.000,XY,Y,1,O2,2000
7,5.975,8.400,0.000,XY,X,1,O3,2000
8,36.075,8.400,0.000,XY,X,1,O4,2000
9,36.075,9.400,0.000,XY,Y,1,O5,2000
10,36.075,7.400,0.000,XY,Y,1,O6,2000
11,36.075,0.000,0.000,XY,Y,1,O7,2000
12,36.075,-7.400,0.000,XY,Y,1,O8,2000
13,36.075,-8.400,0.000,XY,X,1,O9,2000
14,36.075,-9.400,0.000,XY,Y,1,O10,2000
15,81.975,-8.400,0.000,XY,X,1,O11,2000
16,96.775,-8.400,0.000,XY,X,1,O12,2000
17,49.125,-8.400,0.000,XY,X,1,T1,500
18,49.625,-8.400,0.000,XY,X,1,T2,500
19,50.125,-8.400,0.000,XY,X,1,T3,500
20,50.625,-8.400,0.000,XY,X,1,T4,500
21,51.125,-8.400,0.000,XY,X,1,T5,500
22,51.625,-8.400,0.000,XY,X,1,T6,500
23,52.125,-8.400,0.000,XY,X,1,T7,500
24,52.625,-8.400,0.000,XY,X,1,T8,500
25,53.125,-8.400,0.000,XY,X,1,T9,500
26,53.625,-8.400,0.000,XY,X,1,T10,500
27,64.425,-8.400,0.000,XY,X,1,T11,500
28,64.925,-8.400,0.000,XY,X,1,T12,500
29,65.425,-8.400,0.000,XY,X,1,T13,500
30,65.925,-8.400,0.000,XY,X,1,T14,500
31,66.425,-8.400,0.000,XY,X,1,T15,500
32,66.925,-8.400,0.000,XY,X,1,T16,500
33,67.425,-8.400,0.000,XY,X,1,T17,500
34,67.925,-8.400,0.000,XY,X,1,T18,500
35,68.425,-8.400,0.000,XY,X,1,T19,500
36,68.925,-8.400,0.000,XY,X,1,T20,500
