xload,zload,max_mesh,decknodes,piernodes,time,min_d,max_d,mean_d,min_s,max_s,mean_s,shell-size,deck-size,pier-size
34.955, 12.626, 10.0, 735, 174, 3.4867532179999996, -0.000156983, 0.00010773794389414752, -9.267596747382879e-07, -2.682439521359898, 3.5657288499999997, 0.018271112442050062, 3.993320181160571, 5.0166176470588235, 1.673845925124532
34.955, 12.626, 9.0, 735, 174, 3.0494180469999996, -0.000156983, 0.00010773794389414752, -9.267596747382879e-07, -2.682439521359898, 3.5657288499999997, 0.018271112442050062, 3.993320181160571, 5.0166176470588235, 1.673845925124532
34.955, 12.626, 8.0, 735, 174, 2.8949041159999993, -0.000156983, 0.00010773794389414752, -9.267596747382879e-07, -2.682439521359898, 3.5657288499999997, 0.018271112442050062, 3.993320181160571, 5.0166176470588235, 1.673845925124532
34.955, 12.626, 7.0, 770, 174, 3.106058499999996, -0.000253916, 0.00012708711188009835, -2.607727930913842e-06, -3.588840173365837, 6.288904399999999, 0.02302239100922632, 3.859421871338619, 4.777731092436975, 1.673845925124532
34.955, 12.626, 6.0, 910, 174, 3.6509185489999965, -0.000258282, 0.0001435983884703096, -2.22544558887916e-06, -3.5980516576840094, 6.3088899000000005, 0.01804359625778171, 3.403003284815095, 4.013294117647059, 1.673845925124532
34.955, 12.626, 5.0, 980, 174, 3.7186382920000085, -0.000258406, 0.0001439624085715424, -2.325106014626719e-06, -3.59896276012575, 6.30933335, 0.018315431221318776, 3.213016237715402, 3.716013071895425, 1.673845925124532
34.955, 12.626, 4.0, 1254, 174, 4.972304768000001, -0.000305297, 0.00013458931380819672, -3.117483650701064e-06, -3.916843358744494, 7.1090387999999995, 0.02006293430998851, 2.637098232841887, 2.8811655405405405, 1.673845925124532
34.955, 12.626, 3.0, 1748, 522, 7.352344770000002, -0.000335941, 0.00014246676646393442, -3.652839729085403e-06, -4.376721635751537, 7.4533610999999995, 0.015365998380182896, 1.7277941622681499, 2.048828828828829, 0.8369229625622661
34.955, 12.626, 2.0, 2580, 558, 10.858369144000022, -0.00034717, 0.00014454102050942788, -3.882986771228862e-06, -4.996511602697387, 8.77459745, 0.0161864036530359, 1.251904599340166, 1.376634382566586, 0.7749286690391352
34.955, 12.626, 1.9, 2728, 960, 12.681833906999998, -0.000351152, 0.00014417603884656055, -4.002052001830309e-06, -5.008795686270782, 8.840130349999999, 0.015288908996768267, 1.0777895283771326, 1.3005337399923753, 0.49816843009659556
34.955, 12.626, 1.8, 2835, 990, 13.640145875999991, -0.000354442, 0.00014552611745943583, -4.044111314222554e-06, -5.46803898457275, 9.424209349999998, 0.015697371732024124, 1.0375010014680193, 1.2504765395894428, 0.48099020836912676
34.955, 12.626, 1.7, 3015, 990, 14.53406428400001, -0.000354544, 0.00014548979406688525, -4.029100479556826e-06, -5.467969580689085, 9.425195899999999, 0.015561419908880436, 0.9912496903590093, 1.1746900826446283, 0.48099020836912676
34.955, 12.626, 1.6, 3150, 990, 15.190129477000028, -0.000356537, 0.00014493606025704918, -4.090473740900133e-06, -5.485284358704691, 9.822719199999998, 0.01586340268097957, 0.9591798474356295, 1.123616600790514, 0.48099020836912676
